case_id,opened_at,trigger_type,trigger_text,flagged_txn_id,card_id,customer_id,risk_score,source
MON-001,2016-11-21 20:24:00,risk_score,Autonomous monitor (structure_scan): 4 online purchases between $400 and $500 within an hour on card C00466-K1. Review transaction 3476664.,3476664,C00466-K1,C00466,0.07,structure_scan
MON-002,2016-12-08 03:07:30,risk_score,Autonomous monitor (structure_scan): 4 online purchases between $400 and $500 within an hour on card C01569-K1. Review transaction 3524133.,3524133,C01569-K1,C01569,0.37,structure_scan
MON-003,2016-11-23 18:27:00,risk_score,Autonomous monitor (structure_scan): 4 online purchases between $400 and $500 within an hour on card C01890-K1. Review transaction 3481444.,3481444,C01890-K1,C01890,0.21,structure_scan
MON-004,2016-12-02 19:30:00,risk_score,Autonomous monitor (structure_scan): 4 online purchases between $400 and $500 within an hour on card C02265-K1. Review transaction 3507670.,3507670,C02265-K1,C02265,0.12,structure_scan
MON-005,2016-12-28 13:36:15,risk_score,Autonomous monitor (structure_scan): 4 online purchases between $400 and $500 within an hour on card C02716-K2. Review transaction 3581257.,3581257,C02716-K2,C02716,0.66,structure_scan
MON-006,2016-11-25 21:21:00,risk_score,Autonomous monitor (structure_scan): 4 online purchases between $400 and $500 within an hour on card C03633-K1. Review transaction 3487348.,3487348,C03633-K1,C03633,0.15,structure_scan
MON-007,2016-12-18 14:52:49,risk_score,Autonomous monitor (structure_scan): 3 online purchases between $400 and $500 within an hour on card C04285-K1. Review transaction 3553923.,3553923,C04285-K1,C04285,0.27,structure_scan
MON-008,2016-12-10 20:39:21,risk_score,Autonomous monitor (structure_scan): 3 online purchases between $400 and $500 within an hour on card C04697-K1. Review transaction 3531493.,3531493,C04697-K1,C04697,0.04,structure_scan
MON-009,2016-12-03 12:30:00,risk_score,Autonomous monitor (structure_scan): 4 online purchases between $400 and $500 within an hour on card C05423-K1. Review transaction 3509576.,3509576,C05423-K1,C05423,0.08,structure_scan
MON-010,2016-12-06 11:23:33,risk_score,Autonomous monitor (structure_scan): 3 online purchases between $400 and $500 within an hour on card C05560-K2. Review transaction 3518549.,3518549,C05560-K2,C05560,0.24,structure_scan
