case_id,source,card_id,verdict,pattern,p,exposure_usd,sar
MON-048,model_monitor,C07686-K1,fraud,card_not_present_fraud,0.97,73.87,False
MON-050,model_monitor,C05290-K2,fraud,card_not_present_fraud,0.97,500.03,False
MON-049,model_monitor,C04062-K1,fraud,card_not_present_fraud,0.97,300.02,False
MON-052,model_monitor,C09119-K1,fraud,card_not_present_fraud,0.97,87.36,False
MON-054,model_monitor,C08391-K2,fraud,card_not_present_new_device,0.97,172.71,False
MON-053,model_monitor,C06279-K1,fraud,card_not_present_fraud,0.97,200.01,False
MON-057,model_monitor,C06130-K1,fraud,out_of_region_use,0.97,1988.02,True
MON-055,model_monitor,C00071-K1,fraud,card_not_present_fraud,0.97,86.33,False
MON-056,model_monitor,C13370-K1,fraud,card_not_present_new_device,0.97,50.01,False
MON-058,model_monitor,C07562-K2,fraud,card_not_present_new_device,0.97,1353.89,True
MON-059,model_monitor,C11444-K1,fraud,card_not_present_fraud,0.97,172.7,False
MON-060,model_monitor,C11787-K1,fraud,card_not_present_fraud,0.97,22.84,False
MON-051,model_monitor,C06962-K2,fraud,card_not_present_new_device,0.97,29.92,False
MON-047,model_monitor,C01104-K2,fraud,card_not_present_fraud,0.97,600.1,False
MON-025,ring_scan,C04108-K2,fraud,undocumented,0.98,162.35,True
MON-045,ring_scan,C12796-K1,fraud,undocumented,0.94,150.22,True
MON-041,ring_scan,C11082-K1,fraud,undocumented,0.97,44.98,True
MON-012,structure_scan,C05851-K1,fraud,undocumented,0.93,1911.84,True
MON-016,structure_scan,C10990-K1,legitimate,none,0.03,0.0,False
MON-001,structure_scan,C00466-K1,fraud,undocumented,0.93,1860.43,True
MON-003,structure_scan,C01890-K1,fraud,undocumented,0.94,1921.59,True
MON-042,ring_scan,C11670-K2,fraud,undocumented,0.97,473.22,True
MON-015,structure_scan,C10751-K1,legitimate,none,0.03,0.0,False
MON-028,ring_scan,C06031-K2,fraud,undocumented,0.98,145.26,True
MON-046,ring_scan,C13291-K1,fraud,undocumented,0.97,474.71,True
MON-039,ring_scan,C10193-K2,fraud,undocumented,0.97,484.77,True
MON-006,structure_scan,C03633-K1,fraud,undocumented,0.92,1935.29,True
MON-038,ring_scan,C10020-K1,fraud,undocumented,0.98,188.68,True
MON-044,ring_scan,C12645-K1,fraud,undocumented,1.0,191.44,True
MON-036,ring_scan,C09906-K1,fraud,undocumented,0.98,544.65,True
MON-019,structure_scan,C12897-K1,fraud,undocumented,0.97,1499.85,True
MON-026,ring_scan,C04274-K1,fraud,undocumented,0.9,484.76,True
MON-014,structure_scan,C09868-K1,legitimate,none,0.02,0.0,False
MON-021,ring_scan,C01996-K2,fraud,undocumented,0.98,470.34,True
MON-032,ring_scan,C08168-K1,fraud,undocumented,0.97,174.37,True
MON-023,ring_scan,C02975-K1,fraud,undocumented,1.0,496.65,True
MON-027,ring_scan,C05448-K2,fraud,undocumented,0.98,328.27,True
MON-033,ring_scan,C08972-K2,fraud,undocumented,0.94,170.37,True
MON-017,structure_scan,C12641-K2,uncertain,undocumented,0.56,1922.43,False
MON-029,ring_scan,C06650-K2,fraud,undocumented,0.87,97.61,True
MON-043,ring_scan,C11702-K1,fraud,undocumented,0.97,252.11,True
MON-037,ring_scan,C09975-K2,fraud,undocumented,0.95,239.5,True
MON-030,ring_scan,C06710-K1,fraud,undocumented,0.9,276.35,True
MON-035,ring_scan,C09195-K1,fraud,undocumented,0.9,700.22,True
MON-004,structure_scan,C02265-K1,uncertain,undocumented,0.47,1904.86,False
MON-040,ring_scan,C10326-K1,fraud,undocumented,0.87,309.11,True
MON-009,structure_scan,C05423-K1,fraud,undocumented,0.97,1884.76,True
MON-020,ring_scan,C01289-K1,fraud,undocumented,0.97,172.72,True
MON-011,structure_scan,C05766-K1,fraud,undocumented,0.93,1908.26,True
MON-034,ring_scan,C09049-K1,fraud,undocumented,0.94,429.52,True
MON-013,structure_scan,C06881-K1,fraud,undocumented,0.91,1880.16,True
MON-024,ring_scan,C03676-K2,fraud,undocumented,0.9,169.76,True
MON-022,ring_scan,C02910-K1,fraud,undocumented,1.0,531.39,True
MON-031,ring_scan,C07472-K1,fraud,undocumented,0.98,265.85,True
MON-010,structure_scan,C05560-K2,uncertain,undocumented,0.59,1499.84,False
MON-002,structure_scan,C01569-K1,legitimate,none,0.02,0.0,False
MON-008,structure_scan,C04697-K1,fraud,undocumented,0.92,1499.85,True
MON-007,structure_scan,C04285-K1,legitimate,none,0.08,0.0,False
MON-018,structure_scan,C12865-K1,legitimate,none,0.02,0.0,False
MON-005,structure_scan,C02716-K2,legitimate,none,0.02,0.0,False
